"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"178",756,"Qoros","Qoros 3","QorosQoros 3",2377,"Passenger Car","Midsize",110,1.779,1.36891818181818,1.009
"179",778,"Saab","Saab 9-3","SaabSaab 9-3",2,"Passenger Car","Midsize",153,7,4.71333333333333,2.55
"180",820,"SGM-Buick","Buick GL8","SGM-BuickBuick GL8",75773,"MPV","Large MPV",219,3.999,2.97266210045662,2.09
"181",823,"SGM-Buick","Buick Regal","SGM-BuickBuick Regal",30003,"Passenger Car","Midsize Upper",193,3.69,2.29235233160622,1.758
"182",845,"Shanghai Volkswagen","Volkswagen Lavida","Shanghai VolkswagenVolkswagen Lavida",198924,"Passenger Car","Midsize",441,1.669,1.36362358276644,1.078
"183",859,"Shanghai Volkswagen","Volkswagen Touran","Shanghai VolkswagenVolkswagen Touran",18030,"MPV","Midsize MPV",277,2.485,1.92596992481203,1.398
"184",902,"Southeast Mitsubishi","Mitsubishi Zinger","Southeast MitsubishiMitsubishi Zinger",22,"MPV","Midsize MPV",53,1.798,1.54366037735849,1.298
"185",904,"Ssangyong","Ssangyong Actyon","SsangyongSsangyong Actyon",98,"SUV","Midsize SUV",164,3.078,2.22876219512195,1.548
"186",917,"Suzuki","Suzuki Grand Vitara","SuzukiSuzuki Grand Vitara",91,"SUV","Compact SUV",76,3.39,2.55881578947368,1.888
"187",918,"Suzuki","Suzuki Jimny","SuzukiSuzuki Jimny",2364,"SUV","Compact SUV",94,1.608,1.49889361702128,1.388
"188",936,"Toyota","Toyota Alphard","ToyotaToyota Alphard",3906,"MPV","Large MPV",24,8.14,7.14958333333333,5.688
"189",993,"Haima","Haima Fushida","HaimaHaima Fushida",1,"Van","Mini Van",113,0.508,0.399946902654867,0.298
"190",995,"Haima","Haima Wangzi","HaimaHaima Wangzi",4,"Passenger Car","Compact Mini",51,0.438,0.364274509803922,0.298
"191",1004,"Zhengzhou Nissan","Nissan Succe","Zhengzhou NissanNissan Succe",2486,"MPV","Compact MPV",116,1.158,0.786491379310345,0.638
"192",1014,"Zhonghua","Zhonghua Splendor","ZhonghuaZhonghua Splendor",187,"Passenger Car","Midsize Basic",251,1.658,1.13254183266932,0.758
"193",1023,"Zotye","Zotye T600","ZotyeZotye T600",25931,"SUV","Midsize SUV",99,1.498,1.09274747474747,0.798
"194",1027,"Zotye","Zotye Z300","ZotyeZotye Z300",3606,"Passenger Car","Midsize Basic",66,0.88499,0.701209848484848,0.539
"195",1028,"ZXAUTO","ZXAUTO C3","ZXAUTOZXAUTO C3",64,"SUV","Compact SUV",13,0.638,0.599538461538462,0.578
