"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"104",2096,"Aston Martin","Aston Martin Taraf","Aston MartinAston Martin Taraf",1,"Luxury SUV","Large Luxury SUV",NA,NA,NA,NA,NA,NA,NA,NA
"105",2112,"BAIC Yinxiang","BAIC Huansu H3","BAIC YinxiangBAIC Huansu H3",4818,"MPV","Midsize MPV",0.628,0.595272727272727,0.558,"MPV",1,1,7.05454545454545,"中型车"
"106",2187,"Dongfeng","Dongfeng A9","DongfengDongfeng A9",739,"Passenger Car","Midsize Upper",2.197,1.997,1.797,"轿车",1,1,6.6,"中大型车"
"107",2193,"Volvo","Volvo V90","VolvoVolvo V90",421,"Luxury Car","Large Luxury",NA,NA,NA,NA,NA,NA,NA,NA
"108",2202,"Borgward","Borgward BX5","BorgwardBorgward BX5",3553,"SUV","Compact SUV",2.168,1.82618181818182,1.498,"SUV",1,1,7.1,"紧凑型车"
"109",2248,"Southeast","Southeast DX3","SoutheastSoutheast DX3",45018,"SUV","Compact SUV",1.039,0.868565217391304,0.679,"SUV",1,1,7.13478260869565,"小型车"
"110",2249,"Ssangyong","Ssangyong XLV","SsangyongSsangyong XLV",68,"SUV","Compact SUV",2.398,1.88942857142857,1.398,"SUV",1,1,NA,"紧凑型车"
"111",2265,"Changan Car","Changan CS95","Changan CarChangan CS95",8167,"SUV","Midsize SUV",2.298,1.85022222222222,1.598,"SUV",1,1,9.96666666666667,"中大型车"
"112",2289,"BMW Brilliance","Zinoro 60H","BMW BrillianceZinoro 60H",31,"SUV","Compact SUV",3.49,3.49,3.49,"SUV",1,1,1.8,"紧凑型车"
"113",2317,"Victory Auto","Victory V2","Victory AutoVictory V2",144,"Van","Mini Van",NA,NA,NA,NA,NA,NA,NA,NA
"114",2320,"Youngman","Youngman OulianM1","YoungmanYoungman OulianM1",57,"Passenger Car","Compact Mini",NA,NA,NA,NA,NA,NA,NA,NA
"115",2324,"Dongfeng Yulon","Yulon Luxgen S3","Dongfeng YulonYulon Luxgen S3",1447,"Passenger Car","Compact",0.968,0.778,0.598,"轿车",1,1,6.24285714285714,"紧凑型车"
"116",2341,"Chery","Karry K60","CheryKarry K60",7668,"MPV","Compact MPV",0.778,0.684666666666667,0.588,"MPV",1,1,6.83333333333333,"中型车"
"117",2342,"Dongfeng Honda","Honda UR-V","Dongfeng HondaHonda UR-V",13269,"SUV","Midsize SUV",3.298,2.834,2.468,"SUV",1,1,7.94,"中型车"
"118",2380,"Changhe","Changhe M70","ChangheChanghe M70",3765,"MPV","Midsize MPV",0.649,0.591,0.549,"MPV",1,1,7,"中型车"
"119",2384,"BAIC Motor","BAIC EC Series","BAIC MotorBAIC EC Series",11538,"Passenger Car","Compact",1.578,1.548,1.518,"轿车",1,1,NA,"微型车"
"120",2539,"Dongfeng","Future Joyear X6","DongfengFuture Joyear X6",36,"SUV","Compact SUV",NA,NA,NA,NA,NA,NA,NA,NA
"121",2613,"BAIC Motor","BAIC BJ80 TAP","BAIC MotorBAIC BJ80 TAP",5,"SUV","Large SUV",NA,NA,NA,NA,NA,NA,NA,NA
"122",17,"Audi","Audi A3","AudiAudi A3",610,"Luxury Car","Compact Luxury",4.078,3.16504724409449,2.45,"轿车",2,0.8671875,6.15816733067729,"紧凑型车"
"123",20,"Audi","Audi A5","AudiAudi A5",2546,"Luxury Car","Compact Luxury",7.88,5.80732,3.98,"掀背轿跑车",3,0.359223300970874,7.34466019417476,"中型车"
"124",41,"BAIC Motor","BAIC Yongshi","BAIC MotorBAIC Yongshi",16,"SUV","Midsize SUV",2.09,2.02526315789474,1.96,"越野车",1,1,10.9589473684211,"中型车"
"125",56,"Beijing Hyundai","Hyundai Verna","Beijing HyundaiHyundai Verna",10638,"Passenger Car","Compact Upper",1.069,0.914477707006369,0.739,"轿车",1,1,6.31592356687898,"小型车"
"126",66,"BMW","BMW 4 Series","BMWBMW 4 Series",2436,"Luxury Car","Compact Luxury",8.3,6.45014572864322,4.2,"轿跑车",2,0.653465346534653,7.1529702970297,"中型车"
"127",73,"BMW","BMW X1","BMWBMW X1",7,"Luxury SUV","Compact Luxury SUV",5.65,4.58491228070175,3.6,"SUV",1,1,7.47962962962963,"紧凑型车"
"128",121,"Changan Car","Changan Benni Mini","Changan CarChangan Benni Mini",2141,"Passenger Car","Compact Mini",0.489,0.407651685393258,0.299,"轿车",1,1,5.49101123595506,"微型车"
"129",127,"Changan Car","Changan Eado","Changan CarChangan Eado",50425,"Passenger Car","Midsize Basic",1.179,0.884735294117647,0.699,"轿车",1,1,6.82647058823529,"紧凑型车"
"130",131,"Changan Car","Changan Raeton","Changan CarChangan Raeton",1543,"Passenger Car","Midsize Upper",2.018,1.44129268292683,1.088,"轿车",1,1,8.36707317073171,"中型车"
"131",140,"Changan Ford","Ford Ecosport","Changan FordFord Ecosport",15621,"SUV","Compact SUV",1.298,1.13052631578947,0.948,"SUV",1,1,6.24526315789474,"小型车"
